id,Condition,Item,rep.equation,RT.equation,completion,RT.completion,res.equation,cor.equation,nbr.NP1,nbr.comp,attachment,halfsession,amount.cor.equation,age
5,percep_low,16,93,21899,danse,21026,93,1,sg,sg,1,0,24,18
5,percep_high,28,86,6837,fait la fête,10699,64,0,sg,sg,1,0,24,18
5,stat_high,15,76,21482,fait du piano,14358,76,1,pl,sg,0,0,24,18
5,percep_high,6,-22,39074,se rebellaient,9846,-22,1,pl,pl,1,0,24,18
5,percep_low,8,142,47678,aidait un élève,15537,142,1,sg,sg,1,0,24,18
5,stat_low,9,153,35172,s'occupe de son fils,26187,153,1,sg,sg,1,0,24,18
5,percep_high,27,75,15797,navigue beaucoup,17719,75,1,sg,sg,1,0,24,18
5,stat_low,5,136,20410,l'obligent à  maigrir,26826,136,1,pl,pl,1,0,24,18
5,stat_low,13,127,27272,est généreuse,13912,127,1,pl,sg,0,0,24,18
5,stat_high,23,45,16041,aime son boulot,36718,45,1,sg,sg,1,0,24,18
5,stat_low,17,104,9107,prône le pacifisme,13254,104,1,sg,sg,1,0,24,18
5,percep_high,22,-1,10420,n'avait que faire de ses employés,30018,-1,1,sg,sg,1,0,24,18
5,stat_high,3,3,11167,est tyrannique,10076,13,0,pl,sg,0,0,24,18
5,stat_low,1,129,16418,font tout pour l'acquitter,21135,129,1,pl,pl,1,0,24,18
5,percep_low,4,80,9982,aime être avec elle,14078,80,1,pl,sg,0,1,24,18
5,percep_low,20,86,8055,aidait les nouveaux,23981,86,1,sg,sg,1,1,24,18
5,percep_low,12,93,20570,avait un comportement bizarre,21185,93,1,sg,sg,1,1,24,18
5,percep_high,2,7,7051,sont super sympas,12644,17,0,pl,pl,1,1,24,18
5,percep_high,14,36,19791,comptait les billets,13842,36,1,sg,sg,1,1,24,18
5,stat_high,7,24,29598,étaient endiablés,31737,34,0,pl,pl,1,1,24,18
5,percep_high,26,63,15035,est assez spécial,24738,63,1,sg,sg,1,1,24,18
5,stat_high,11,3,23105,a sauvé plusieurs vies,12399,3,1,sg,sg,1,1,24,18
5,stat_low,25,94,11694,sont assez froids,17885,94,1,pl,pl,1,1,24,18
5,stat_low,21,151,30932,sont surchargés de travail,15209,151,1,pl,pl,1,1,24,18
5,percep_high,10,0,34925,bien habillé,14786,0,1,sg,sg,1,1,24,18
